-a	-M/REM
-ī	-F
-i	-F/PRED.SG
-e	-PL
-an	-OBL.PL
-iya	-F
-at	-3SG.F
-ni	-PRED.PL
-ēk	-PRED.SG.M/2SG
-ēk-i	-PRED.SG.M-PRED
-m-ēk	-LOC-PRED.SG.M
-ik	-PRED.SG.F
-ik-i	-PRED.SG.F-PRED
-ēn-i	-PRED.PL-PRED
-ēn	-PRED.PL
-ak	-INDEF
-ak-i	-INDEF-PRED
-as	-OBL.M/2PL
-y-a	-F-OBL.F
-e'	-NEG
-ta	-DAT
-as-ta	-OBL.M-DAT
-y-a-ta	-OBL.F-DAT
-an-ta	-OBL.PL-DAT
-y-an-ta	-F-OBL.PL-DAT
-im-ta	-1SG-DAT
-ir-ta	-2SG-DAT
-is-ta	-3SG-DAT
-o-m-ta	-SG-1SG-DAT
-o-r-ta	-SG-2SG-DAT
-o-s-ta	-SG-3SG-DAT
-ē-m-ta	-PL-1SG-DAT
-ē-r-ta	-PL-2SG-DAT
-ē-s-ta	-PL-3SG-DAT
-o-man-ta	-SG-1PL-DAT
-o-ran-ta	-SG-2PL-DAT
-o-san-ta	-SG-3PL-DAT
-ē-man-ta	-PL-1PL-DAT
-ē-ran-ta	-PL-2PL-DAT
-ē-san-ta	-PL-3PL-DAT
-ki	-ABL
-as-ki	-OBL.M-ABL
-y-a-ki	-OBL.F-ABL
-an-ki	-OBL.PL-ABL
-y-an-ki	-F-OBL.PL-ABL
-im-ki	-1SG-ABL
-ir-ki	-2SG-ABL
-is-ki	-3SG-ABL
-o-m-ki	-SG-1SG-ABL
-o-r-ki	-SG-2SG-ABL
-o-s-ki	-SG-3SG-ABL
-ē-m-ki	-PL-1SG-ABL
-ē-r-ki	-PL-2SG-ABL
-ē-s-ki	-PL-3SG-ABL
-o-man-ki	-SG-1PL-ABL
-o-ran-ki	-SG-2PL-ABL
-o-san-ki	-SG-3PL-ABL
-ē-man-ki	-PL-1PL-ABL
-ē-ran-ki	-PL-2PL-ABL
-ē-san-ki	-PL-3PL-ABL
-ma	-LOC
-mà	-LOC
-as-ma	-OBL.M-LOC
-y-a-ma	-OBL.F-LOC
-an-ma	-OBL.PL-LOC
-y-an-ma	-F-OBL.PL-LOC
-im-ma	-1SG-LOC
-ir-ma	-2SG-LOC
-is-ma	-3SG-LOC
-o-m-ma	-SG-1SG-LOC
-o-r-ma	-SG-2SG-LOC
-o-s-ma	-SG-3SG-LOC
-ē-m-ma	-PL-1SG-LOC
-ē-r-ma	-PL-2SG-LOC
-ē-s-ma	-PL-3SG-LOC
-o-man-ma	-SG-1PL-LOC
-o-ran-ma	-SG-2PL-LOC
-o-san-ma	-SG-3PL-LOC
-ē-man-ma	-PL-1PL-LOC
-ē-ran-ma	-PL-2PL-LOC
-ē-san-ma	-PL-3PL-LOC
-ka	-DAT
-as-ka	-OBL.M-DAT
-y-a-ka	-F-OBL.F-DAT
-an-ka	-OBL.PL-DAT
-y-an-ka	-F-OBL.PL-DAT
-im-ka	-1SG-DAT
-ir-ka	-2SG-DAT
-is-ka	-3SG-DAT
-o-m-ka	-SG-1SG-DAT
-o-r-ka	-SG-2SG-DAT
-o-s-ka	-SG-3SG-DAT
-ē-m-ka	-PL-1SG-DAT
-ē-r-ka	-PL-2SG-DAT
-ē-s-ka	-PL-3SG-DAT
-o-man-ka	-SG-1PL-DAT
-o-ran-ka	-SG-2PL-DAT
-o-san-ka	-SG-3PL-DAT
-ē-man-ka	-PL-1PL-DAT
-ē-ran-ka	-PL-2PL-DAT
-ē-san-ka	-PL-3PL-DAT
-ke	-BEN
-as-ke	-OBL.M-BEN
-y-a-ke	-OBL.F-BEN
-an-ke	-OBL.PL-BEN
-y-an-ke	-F-OBL.PL-BEN
-im-ke	-1SG-BEN
-ir-ke	-2SG-BEN
-is-ke	-3SG-BEN
-o-m-ke	-SG-1SG-BEN
-o-r-ke	-SG-2SG-BEN
-o-s-ke	-SG-3SG-BEN
-ē-m-ke	-PL-1SG-BEN
-ē-r-ke	-PL-2SG-BEN
-ē-s-ke	-PL-3SG-BEN
-o-man-ke	-SG-1PL-BEN
-o-ran-ke	-SG-2PL-BEN
-o-san-ke	-SG-3PL-BEN
-ē-man-ke	-PL-1PL-BEN
-ē-ran-ke	-PL-2PL-BEN
-ē-san-ke	-PL-3PL-BEN
-as-kara	-OBL.M-BEN
-y-a-kara	-OBL.F-BEN
-an-kara	-OBL.PL-BEN
-y-an-kara	-F-OBL.PL-BEN
-im-kara	-1SG-BEN
-ir-kara	-2SG-BEN
-is-kara	-3SG-BEN
-o-m-kara	-SG-1SG-BEN
-o-r-kara	-SG-2SG-BEN
-o-s-kara	-SG-3SG-BEN
-ē-m-kara	-PL-1SG-BEN
-ē-r-kara	-PL-2SG-BEN
-ē-s-kara	-PL-3SG-BEN
-o-man-kara	-SG-1PL-BEN
-o-ran-kara	-SG-2PL-BEN
-o-san-kara	-SG-3PL-BEN
-ē-man-kara	-PL-1PL-BEN
-ē-ran-kara	-PL-2PL-BEN
-ē-san-kara	-PL-3PL-BEN
ab-us	for-3SG
ab-om-ke	for-1SG-BEN
ab-or-ke	for-2SG-BEN
ab-os-ke	for-3SG-BEN
ab-us-ke	for-3SG-BEN
ab-man-ke	for-1PL-BEN
ab-ran-ke	for-2PL-BEN
ab-san-ke	for-3PL-BEN
ab-ŭm-ke	for-1SG-BEN	Mac
ab-ŭr-ke	for-2SG-BEN	Mac
ab-ŭs-ke	for-3SG-BEN	Mac
ab-ŭs-ke	for-3SG-BEN	Mac
ab-ŭm-kara	for-1SG-BEN	Mac
ab-ŭr-kara	for-2SG-BEN	Mac
ab-ŭs-kara	for--3SG-BEN	Mac
ab-ŭs-kara	for-3SG-BEN	Mac
ab-om-kara	for-1SG-BEN	Mac
ab-or-kara	for--2SG-BEN	Mac
ab-os-kara	for-3SG-BEN	Mac
ab-ūm-kara	for-1SG-BEN	Mac
ab-ūr-kara	for-2SG-BEN	Mac
ab-ūs-kara	for-3SG-BEN	Mac
ab-us-kara	for-3SG-BEN	Mac
ab-man-kara	for-1PL-BEN	Mac
ab-ran-kara	for-3PL-BEN	Mac
ab-san-kara	for-3PL-BEN	Mac
ab-om-ka	for-1SG-DAT	Mac
ab-or-ka	for-2SG-DAT	Mac
ab-os-ka	for-3SG-DAT	Mac
ab-us-ka	for-3SG-DAT	Mac
ab-man-ka	for-1PL-DAT	Mac
ab-ran-ka	for-2PL-DAT	Mac
ab-san-ka	for-3PL-DAT	Mac
mindž-īm	in-1SG
mindž-īr	in-2SG
mindž-īs	in-3SG
mindž-īman	in-1PL
mindž-īran	in-2PL
mindž-īsan	in-3PL
-kera	-BEN
-kara	-BEN	Mac
-san	-SOC
-as-san	-OBL.M-SOC
-y-a-san	-OBL.F-SOC
-an-san	-OBL.PL-SOC
-y-an-san	-F-OBL.PL-SOC
-im-san	-1SG-SOC
-ir-san	-2SG-SOC
-is-san	-3SG-SOC
-o-m-san	-SG-1SG-SOC
-o-r-san	-SG-2SG-SOC
-o-s-san	-SG-3SG-SOC
-ē-m-san	-PL-1SG-SOC
-ē-r-san	-PL-2SG-SOC
-ē-s-san	-PL-3SG-SOC
-o-man-san	-SG-1PL-SOC
-o-ran-san	-SG-2PL-SOC
-o-san-san	-SG-3PL-SOC
-ē-man-san	-PL-1PL-SOC
-ē-ran-san	-PL-2PL-SOC
-ē-san-san	-PL-3PL-SOC
-y	-1SG
-k	-2SG
-h	-3SG.M
-hā	-3SG.F
-nā	-1PL
-na	-1PL
-kum	-2PL
-hum	-3PL
iyyā-k	OBJ-2SG.M
iyyā-ki	OBJ-2SG.F
iyyā-h	OBJ-3SG.M
iyyā-hā	OBJ-3SG.F
iyyā-nā	OBJ-1PL
iyyā-kum	OBJ-2PL
iyyā-hum	OBJ-3PL
bidd-ī	want-1SG
bidd-ak	want-2SG.M
bidd-ki	want-2SG.F
bidd-o	want-3SG.M
bidd-hā	want-3SG.F
bidd-nā	want-1PL
bidd-kum	want-2PL
bidd-hum	want-3PL
-o-m	-SG-1SG
-o-r	-SG-2SG
-o-s	-SG-3SG
-o-m-i	-SG-1SG-PRED
-o-r-i	-SG-2SG-PRED
-o-s-i	-SG-3SG-PRED
-im	-1SG
-ir	-2SG
-is	-3SG
-ē-m	-PL-1SG
-ē-r	-PL-2SG
-ē-s	-PL-3SG/-2SG-3SG
-ē-man	-PL-1PL
-ē-ran	-PL-2PL
-ē-san	-PL-3PL
-ē-m-i	-PL-1SG-PRED
-ē-r-i	-PL-2SG-PRED
-ē-s-i	-PL-3SG-PRED/2SG-3SG-PRES
-ē-man-i	-PL-1PL-PRED
-ē-ran-i	-PL-2PL-PRED
-ē-san-i	-PL-3PL-PRED
-o-man	-SG-1PL
-o-ran	-SG-2PL
-o-san	-SG-3PL
-o-man-i	-SG-1PL-PRED
-o-ran-i	-SG-2PL-PRED
-o-san-i	-SG-3PL-PRED
-man	-1PL
-ran	-2PL
-san	-3PL
wašī-m	with-1SG
wašī-r	with-3SG
wašī-s	with-3SG
wašī-man	with-1PL
