a	 -a
ī	 -ī
i	 -i
e	 -e
an	 -an
ni	 -ni
iya	 -iya
at	 -at
ēk	 -ēk
ēki	 -ēk-i
ik	 -ik
iki	 -ik-i
ēni	 -ēn-i
ēn	 -ēn
ak	 -ak
aki	 -ak-i
as	 -as
ya	 -y-a
e'	 -e'
ta	 -ta
asta	 -as-ta
yata	 -y-a-ta
anta	 -an-ta
yanta	 -y-an-ta
imta	 -im-ta
irta	 -ir-ta
ista	 -is-ta
omta	 -o-m-ta
orta	 -o-r-ta
osta	 -o-s-ta
ēmta	 -ē-m-ta
ērta	 -ē-r-ta
ēsta	 -ē-s-ta
omanta	 -o-man-ta
oranta	 -o-ran-ta
osanta	 -o-san-ta
ēmanta	 -ē-man-ta
ēranta	 -ē-ran-ta
ēsanta	 -ē-san-ta
ki	 -ki
aski	 -as-ki
yaki	 -y-a-ki
anki	 -an-ki
yanki	 -y-an-ki
imki	 -im-ki
irki	 -ir-ki
iski	 -is-ki
omki	 -o-m-ki
orki	 -o-r-ki
oski	 -o-s-ki
ēmki	 -ē-m-ki
ērki	 -ē-r-ki
ēski	 -ē-s-ki
omanki	 -o-man-ki
oranki	 -o-ran-ki
osanki	 -o-san-ki
ēmanki	 -ē-man-ki
ēranki	 -ē-ran-ki
ēsanki	 -ē-san-ki
ma	 -ma
mà	 -mà
mēk	 -m-ēk
asma	 -as-ma
yama	 -y-a-ma
anma	 -an-ma
yanma	 -y-an-ma
imma	 -im-ma
irma	 -ir-ma
isma	 -is-ma
omma	 -o-m-ma
orma	 -o-r-ma
osma	 -o-s-ma
ēmma	 -ē-m-ma
ērma	 -ē-r-ma
ēsma	 -ē-s-ma
omanma	 -o-man-ma
oranma	 -o-ran-ma
osanma	 -o-san-ma
ēmanma	 -ē-man-ma
ēranma	 -ē-ran-ma
ēsanma	 -ē-san-ma
ka	 -ka
aska	 -as-ka
yaka	 -y-a-ka
anka	 -an-ka
yanka	 -y-an-ka
imka	 -im-ka
irka	 -ir-ka
iska	 -is-ka
omka	 -o-m-ka
orka	 -o-r-ka
oska	 -o-s-ka
ēmka	 -ē-m-ka
ērka	 -ē-r-ka
ēska	 -ē-s-ka
omanka	 -o-man-ka
oranka	 -o-ran-ka
osanka	 -o-san-ka
ēmanka	 -ē-man-ka
ēranka	 -ē-ran-ka
ēsanka	 -ē-san-ka
ke	 -ke
aske	 -as-ke
yake	 -y-a-ke
anke	 -an-ke
yanke	 -y-an-ke
imke	 -im-ke
irke	 -ir-ke
iske	 -is-ke
omke	 -o-m-ke
orke	 -o-r-ke
oske	 -o-s-ke
ēmke	 -ē-m-ke
ērke	 -ē-r-ke
ēske	 -ē-s-ke
omanke	 -o-man-ke
oranke	 -o-ran-ke
osanke	 -o-san-ke
ēmanke	 -ē-man-ke
ēranke	 -ē-ran-ke
ēsanke	 -ē-san-ke
askara	 -as-kara
yakara	 -y-a-kara
ankara	 -an-kara
yankara	 -y-an-kara
imkara	 -im-kara
irkara	 -ir-kara
iskara	 -is-kara
omkara	 -o-m-kara
orkara	 -o-r-kara
oskara	 -o-s-kara
ēmkara	 -ē-m-kara
ērkara	 -ē-r-kara
ēskara	 -ē-s-kara
omankara	 -o-man-kara
orankara	 -o-ran-kara
osankara	 -o-san-kara
ēmankara	 -ē-man-kara
ērankara	 -ē-ran-kara
ēsankara	 -ē-san-kara
abomke	ab-om-ke
aborke	ab-or-ke
aboske	ab-os-ke
abūmke	ab-ūm-ke
abūrke	ab-ūr-ke
abūske	ab-ūs-ke
abuske	ab-us-ke
abomka	ab-om-ka
aborka	ab-or-ka
aboska	ab-os-ka
abūmka	ab-ūm-ka
abūrka	ab-ūr-ka
abūska	ab-ūs-ka
abuska	ab-us-ka
abmanke	ab-man-ke
abranke	ab-ran-ke
absanke	ab-san-ke
abmanka	ab-man-ka
abranka	ab-ran-ka
absanka	ab-san-ka
abomkara	ab-om-kara
aborkara	ab-or-kara
aboskara	ab-os-kara
abŭmkara	ab-ŭm-kara
abŭrkara	ab-ŭr-kara
abŭskara	ab-ŭs-kara
abūmkara	ab-ūm-kara
abūrkara	ab-ūr-kara
abūskara	ab-ūs-kara
abuskara	ab-us-kara
abmankara	ab-man-kara
abrankara	ab-ran-kara
absankara	ab-san-kara
kera	 -kera
kara	 -kara
san	 -san
assan	 -as-san
yasan	 -y-a-san
ansan	 -an-san
yansan	 -y-an-san
imsan	 -im-san
irsan	 -ir-san
issan	 -is-san
omsan	 -o-m-san
orsan	 -o-r-san
ossan	 -o-s-san
ēmsan	 -ē-m-san
ērsan	 -ē-r-san
ēssan	 -ē-s-san
omansan	 -o-man-san
oransan	 -o-ran-san
osansan	 -o-san-san
